건물명,전체주소,가시성등급,거리,거리등급,점포수,상권발달등급,혼잡도비율,쾌적도등급,접근성소요시간,접근성등급,추천장소이름,장소종류,추천장소여부,Longitude,Latitude,지역1,지역2,지역3,도로명,우편번호,상세주소1,상세주소2
진성나루,서울특별시 영등포구 여의동로 280,1,0.6591392828375353,1,2138.0,1,1.8626141135104726,5,617.0,2,원효대교,공공,yes,126.939,37.5247,서울특별시,영등포구,여의도동,여의동로,07337,280,
진성나루,서울특별시 영등포구 여의동로 280,1,0.6591392828375353,1,2138.0,1,1.8626141135104726,5,617.0,2,여의도 이랜드크루즈,관광,yes,126.939,37.5247,서울특별시,영등포구,여의도동,여의동로,07337,280,
강변 힐스테이트,서울특별시 마포구 신수로 15,4,1.5650175767516854,2,228.0,5,1.1025530925160576,3,586.0,2,,공동주택,,126.93375,37.543291,서울특별시,마포구,현석동,신수로,04092,15,
용산kcc웰츠타워,서울특별시 용산구 백범로90길 90,2,2.5896574035966897,3,333.0,4,1.1310545001295456,4,499.0,2,,공동주택,,126.968814,37.537767,서울특별시,용산구,문배동,백범로90길,04315,90,
상수동 월드메르디앙 Ⅲ,서울특별시 마포구 와우산로 4,5,2.2265337210785527,3,570.0,2,1.1121645792532693,4,359.0,1,,공동주택,,126.923263,37.544721,서울특별시,마포구,상수동,와우산로,04081,4,
상도근린공원 공중화장실(중앙하이츠빌),서울특별시 동작구 양녕로32길 60,3,4.107378603075331,5,251.25,4,0.9900528040084795,2,798.0,2,상도근린공원,공공,yes,126.9479,37.4939,서울특별시,동작구,상도동,양녕로32길,07034,60,
벽산블루밍아파트,서울특별시 관악구 양녕로 117,4,4.274581780168283,5,299.44444444444446,4,0.9861283429148703,2,1195.0,3,,공동주택,,126.943104,37.49202,서울특별시,관악구,봉천동,양녕로,08715,117,
브라운스톤 공덕 아파트,서울특별시 마포구 백범로 230,3,1.7457644873631146,2,492.0,3,0.9048433232873112,1,238.0,1,,공동주택,,126.954535,37.54184,서울특별시,마포구,신공덕동,백범로,04197,230,
노량진근린공원,서울특별시 동작구 매봉로6길 16,4,2.660197059030567,3,533.0,2,1.3250104755287633,5,797.0,2,고구동산,공공,yes,126.9533,37.5086,서울특별시,동작구,본동,매봉로6길,06912,16,
마포자이2차아파트,서울특별시 마포구 서강대길 40,3,2.1267146186376333,3,363.0,4,0.9679476059068545,1,291.0,1,,공동주택,,126.942018,37.549531,서울특별시,마포구,대흥동,서강대길,04111,40,
가로판매대22,서울특별시 영등포구 여의서로 60-2,3,1.99090519644854,2,2138.0,1,1.8626141135104726,5,811.0,2,,비건물,,126.9186,37.533,서울특별시,영등포구,여의도동,여의서로,07240,60,2
