건물명,전체주소,가시성등급,거리,거리등급,점포수,상권발달등급,혼잡도비율,쾌적도등급,접근성소요시간,접근성등급,추천장소이름,장소종류,추천장소여부,Longitude,Latitude,지역1,지역2,지역3,도로명,우편번호,상세주소1,상세주소2
대아빌딩,서울특별시 용산구 한강대로77길 15,4,2.987194287094974,3.0,600,2,1.0549042273535876,3,93.0,1,,공동주택,,126.97171880903686,37.54165478611655,서울특별시,용산구,갈월동,한강대로77길,4322.0,15,
,서울특별시 용산구 한강대로71길 24,3,2.969236879163439,3.0,600,2,1.0549042273535876,3,296.0,1,,숙박시설,,126.9722020727074,37.54035465928754,서울특별시,용산구,갈월동,한강대로71길,4322.0,24,
고려에이트리움,서울특별시 용산구 한강대로 259,5,3.040976065428372,4.0,600,2,1.0549042273535876,3,147.0,1,,업무시설,,126.9724256633272,37.541589975193325,서울특별시,용산구,갈월동,한강대로,4322.0,259,
갈월동 오피스,서울특별시 용산구 한강대로71길 4,5,3.0053502702831056,4.0,600,2,1.0549042273535876,3,296.0,1,,업무시설,,126.97258540775526,37.54046925988287,서울특별시,용산구,갈월동,한강대로71길,4322.0,4,
롯데캐슬 프레지던트,서울특별시 마포구 마포대로 109,3,1.7967955134041809,2.0,294,4,0.9050039836462872,1,132.0,1,롯데시티호텔 마포,호텔,yes,126.95031801177268,37.54477142849952,서울특별시,마포구,공덕동,마포대로,4146.0,109,
에쓰오일사옥빌딩,서울특별시 마포구 백범로 192,4,1.7076507417990772,2.0,294,4,0.9050039836462872,1,0.0,1,탑클라우드23,빌딩,yes,126.95151691350648,37.54329033178384,서울특별시,마포구,공덕동,백범로,4196.0,192,
마포현대하이엘,서울특별시 마포구 마포대로 173,5,2.4719997439968355,3.0,294,4,0.9050039836462872,1,517.0,2,,업무시설,,126.95444468199426,37.54990764657563,서울특별시,마포구,공덕동,마포대로,4130.0,173,
공덕 시티하우스,서울특별시 마포구 만리재로 81,5,2.4743833153097614,3.0,294,4,0.9050039836462872,1,732.0,2,,업무시설,,126.95832939020428,37.54789164428459,서울특별시,마포구,공덕동,만리재로,4208.0,81,
삼성래미안공덕2차아파트,서울특별시 마포구 마포대로20길 26,5,2.813120482335868,3.0,294,4,0.9050039836462872,1,532.0,2,,공동주택,,126.95931768538296,37.55110646971799,서울특별시,마포구,공덕동,마포대로20길,4204.0,26,
블레스하임 3차,서울특별시 마포구 만리재로 90,5,2.5741107301796173,3.0,294,4,0.9050039836462872,1,815.0,2,,업무시설,,126.95949370592308,37.54829944274302,서울특별시,마포구,공덕동,만리재로,4185.0,90,
동원스위트홈,서울특별시 마포구 독막로24길 9,4,1.942290946271216,2.0,228,5,1.104154408869746,3,141.0,1,,공동주택,,126.93300173045468,37.54671693150961,서울특별시,마포구,구수동,독막로24길,4087.0,9,
,서울특별시 마포구 토정로 202,4,1.765830382699699,2.0,228,5,1.104154408869746,3,366.0,1,,단독주택,,126.93329325305392,37.54510034742674,서울특별시,마포구,구수동,토정로,4092.0,202,
남대문호텔,서울특별시 중구 남대문로 9,5,4.671889491739583,5.0,796,2,1.0218795770019775,2,382.0,1,,숙박시설,,126.977024635494,37.561195312365626,서울특별시,중구,남대문로4가,남대문로,4526.0,9,
그레이츠 숭례,서울특별시 중구 세종대로 17,4,4.239106679740719,5.0,635,2,1.0945509086272318,3,249.0,1,,업무시설,,126.97328060417148,37.55863706917118,서울특별시,중구,남대문로5가,세종대로,4512.0,17,
연세대학교 세브란스빌딩,서울특별시 중구 통일로 10,5,4.136779715049697,5.0,635,2,1.0945509086272318,3,295.0,1,,업무시설,,126.97365017628864,37.5570985655653,서울특별시,중구,남대문로5가,통일로,4527.0,10,
서울스퀘어,서울특별시 중구 한강대로 416,4,4.019163349871693,5.0,635,2,1.0945509086272318,3,175.0,1,,업무시설,,126.97376782737298,37.55550560679464,서울특별시,중구,남대문로5가,한강대로,4637.0,416,
